2025-08-22 14:06:45.812 | INFO     | services.anomaly_detector:initialize_models:90 - 创建新异常检测模型: chemical
2025-08-22 14:06:45.812 | INFO     | services.anomaly_detector:initialize_models:93 - 异常检测模型初始化完成
2025-08-22 14:06:45.812 | INFO     | services.carbon_cycle:initialize_models:27 - 开始初始化碳循环分析模型...
2025-08-22 14:06:45.812 | INFO     | services.carbon_cycle:initialize_models:36 - 碳循环分析模型初始化完成
2025-08-22 14:06:45.812 | INFO     | main:startup_event:60 - AI模型初始化完成
2025-08-22 14:24:38.007 | INFO     | main:startup_event:48 - 碳排放AI分析服务启动中...
2025-08-22 14:24:38.007 | INFO     | main:startup_event:48 - 碳排放AI分析服务启动中...
2025-08-22 14:24:38.009 | INFO     | services.ai_predictor:initialize_models:47 - 开始初始化AI预测模型...
2025-08-22 14:24:38.009 | INFO     | services.ai_predictor:initialize_models:47 - 开始初始化AI预测模型...
2025-08-22 14:24:38.010 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_coal
2025-08-22 14:24:38.010 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_coal
2025-08-22 14:24:38.011 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_oil
2025-08-22 14:24:38.011 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_oil
2025-08-22 14:24:38.012 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_gas
2025-08-22 14:24:38.012 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_gas
2025-08-22 14:24:38.013 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_electricity
2025-08-22 14:24:38.013 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_electricity
2025-08-22 14:24:38.014 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_renewable
2025-08-22 14:24:38.014 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_renewable
2025-08-22 14:24:38.015 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_nuclear
2025-08-22 14:24:38.015 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: manufacturing_nuclear
2025-08-22 14:24:38.015 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_coal
2025-08-22 14:24:38.015 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_coal
2025-08-22 14:24:38.016 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_oil
2025-08-22 14:24:38.016 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_oil
2025-08-22 14:24:38.017 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_gas
2025-08-22 14:24:38.017 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_gas
2025-08-22 14:24:38.018 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_electricity
2025-08-22 14:24:38.018 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_electricity
2025-08-22 14:24:38.019 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_renewable
2025-08-22 14:24:38.019 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_renewable
2025-08-22 14:24:38.019 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_nuclear
2025-08-22 14:24:38.019 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: energy_nuclear
2025-08-22 14:24:38.020 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_coal
2025-08-22 14:24:38.020 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_coal
2025-08-22 14:24:38.021 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_oil
2025-08-22 14:24:38.021 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_oil
2025-08-22 14:24:38.022 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_gas
2025-08-22 14:24:38.022 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_gas
2025-08-22 14:24:38.022 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_electricity
2025-08-22 14:24:38.022 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_electricity
2025-08-22 14:24:38.023 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_renewable
2025-08-22 14:24:38.023 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_renewable
2025-08-22 14:24:38.024 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_nuclear
2025-08-22 14:24:38.024 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: transportation_nuclear
2025-08-22 14:24:38.025 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_coal
2025-08-22 14:24:38.025 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_coal
2025-08-22 14:24:38.026 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_oil
2025-08-22 14:24:38.026 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_oil
2025-08-22 14:24:38.027 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_gas
2025-08-22 14:24:38.027 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_gas
2025-08-22 14:24:38.027 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_electricity
2025-08-22 14:24:38.027 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_electricity
2025-08-22 14:24:38.028 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_renewable
2025-08-22 14:24:38.028 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_renewable
2025-08-22 14:24:38.029 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_nuclear
2025-08-22 14:24:38.029 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: agriculture_nuclear
2025-08-22 14:24:38.030 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_coal
2025-08-22 14:24:38.030 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_coal
2025-08-22 14:24:38.031 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_oil
2025-08-22 14:24:38.031 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_oil
2025-08-22 14:24:38.031 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_gas
2025-08-22 14:24:38.031 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_gas
2025-08-22 14:24:38.032 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_electricity
2025-08-22 14:24:38.032 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_electricity
2025-08-22 14:24:38.033 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_renewable
2025-08-22 14:24:38.033 | INFO     | services.ai_predictor:initialize_models:76 - 创建新模型: construction_renewable
